[Name]
Series 1 at /POLYLINE:Polyline 1

[Data]
Chart Count,Temperature [ K ]
0, 449.522
1, 449.523
2, 449.524
3, 449.527
4, 449.537
5, 449.539
6, 449.53
7, 449.526
8, 449.524
9, 449.523
10, 449.523
11, 449.523
12, 449.523
13, 449.524
14, 449.525
15, 449.526
16, 449.526
17, 449.528
18, 449.531
19, 449.54
20, 449.54
21, 449.53
22, 449.527
23, 449.526
24, 449.526
25, 449.526
26, 449.527
27, 449.528
28, 449.53
29, 449.531
30, 449.53
31, 449.529
32, 449.529
33, 449.531
34, 449.541
35, 449.541
36, 449.532
37, 449.529
38, 449.528
39, 449.527
40, 449.528
41, 449.529
42, 449.531
43, 449.531
44, 449.529
45, 449.527
46, 449.526
47, 449.526
48, 449.528
49, 449.532
50, 449.535
51, 449.532
52, 449.529
53, 449.527
54, 449.527
55, 449.529
56, 449.538
57, 449.538
58, 449.528
59, 449.526
60, 449.525
61, 449.525
62, 449.524
63, 449.524
64, 449.526
65, 449.527
66, 449.525
67, 449.523
68, 449.522
69, 449.521
70, 449.521
71, 449.521
72, 449.52
73, 449.521
74, 449.52
75, 449.52
76, 449.52
77, 449.522
78, 449.523
79, 449.526
80, 449.528
81, 449.525
82, 449.521
83, 449.519
84, 449.519
85, 449.519
86, 449.522
87, 449.525
88, 449.527
89, 449.524
90, 449.52
91, 449.517
92, 449.517
93, 449.519
94, 449.523
95, 449.525
96, 449.522
97, 449.519
98, 449.517
99, 449.517
100, 449.518
101, 449.52
102, 449.524
103, 449.527
104, 449.523
105, 449.519
106, 449.518
107, 449.521
108, 449.526
109, 449.536
110, 449.538
111, 449.528
112, 449.523
113, 449.519
114, 449.517
115, 449.515
116, 449.515
117, 449.516
118, 449.518
119, 449.519
120, 449.519
121, 449.52
122, 449.522
123, 449.532
124, 449.531
125, 449.521
126, 449.519
127, 449.518
128, 449.521
129, 449.527
130, 449.532
131, 449.53
132, 449.524
133, 449.52
134, 449.519
135, 449.518
136, 449.517
137, 449.517
138, 449.518
139, 449.519
140, 449.519
141, 449.519
142, 449.521
143, 449.523
144, 449.527
145, 449.535
146, 449.533
147, 449.522
148, 449.517
149, 449.516
150, 449.516
151, 449.516
152, 449.516
153, 449.516
154, 449.516
155, 449.517
156, 449.518
157, 449.52
158, 449.522
159, 449.526
160, 449.536
161, 449.534
162, 449.522
163, 449.518
164, 449.517
165, 449.517
166, 449.518
167, 449.519
168, 449.521
169, 449.522
170, 449.521
171, 449.519
172, 449.518
173, 449.519
174, 449.519
175, 449.52
176, 449.52
177, 449.52


