[Name]
Series 1 at /POLYLINE:Polyline 1

[Data]
Chart Count,Temperature [ K ]
0, 450.364
1, 450.452
2, 450.561
3, 450.66
4, 450.583
5, 450.461
6, 450.367
7, 450.286
8, 450.22
9, 450.168
10, 450.132
11, 450.113
12, 450.114
13, 450.121
14, 450.134
15, 450.168
16, 450.219
17, 450.285
18, 450.364
19, 450.454
20, 450.569
21, 450.649
22, 450.572
23, 450.457
24, 450.365
25, 450.284
26, 450.218
27, 450.168
28, 450.131
29, 450.112
30, 450.114
31, 450.122
32, 450.134
33, 450.169
34, 450.221
35, 450.287
36, 450.366
37, 450.457
38, 450.572
39, 450.651
40, 450.575
41, 450.461
42, 450.369
43, 450.289
44, 450.224
45, 450.174
46, 450.14
47, 450.128
48, 450.121
49, 450.119
50, 450.138
51, 450.174
52, 450.225
53, 450.292
54, 450.372
55, 450.462
56, 450.577
57, 450.657
58, 450.58
59, 450.465
60, 450.373
61, 450.292
62, 450.226
63, 450.175
64, 450.139
65, 450.121
66, 450.123
67, 450.13
68, 450.143
69, 450.178
70, 450.228
71, 450.294
72, 450.374
73, 450.464
74, 450.579
75, 450.658
76, 450.58
77, 450.464
78, 450.371
79, 450.29
80, 450.226
81, 450.176
82, 450.143
83, 450.131
84, 450.124
85, 450.122
86, 450.141
87, 450.177
88, 450.228
89, 450.294
90, 450.375
91, 450.465
92, 450.58
93, 450.659
94, 450.581
95, 450.466
96, 450.373
97, 450.291
98, 450.225
99, 450.174
100, 450.139
101, 450.119
102, 450.122
103, 450.129
104, 450.141
105, 450.176
106, 450.226
107, 450.292
108, 450.372
109, 450.461
110, 450.576
111, 450.656
112, 450.579
113, 450.463
114, 450.371
115, 450.289
116, 450.223
117, 450.172
118, 450.136
119, 450.117
120, 450.119
121, 450.126
122, 450.138
123, 450.172
124, 450.223
125, 450.288
126, 450.369
127, 450.459
128, 450.573
129, 450.653
130, 450.575
131, 450.46
132, 450.368
133, 450.287
134, 450.221
135, 450.17
136, 450.136
137, 450.124
138, 450.117
139, 450.115
140, 450.134
141, 450.169
142, 450.22
143, 450.285
144, 450.365
145, 450.454
146, 450.569
147, 450.648
148, 450.571
149, 450.457
150, 450.364
151, 450.283
152, 450.217
153, 450.165
154, 450.13
155, 450.111
156, 450.114
157, 450.121
158, 450.133
159, 450.168
160, 450.218
161, 450.284
162, 450.364
163, 450.453
164, 450.568
165, 450.647
166, 450.57
167, 450.454
168, 450.362
169, 450.281
170, 450.216
171, 450.166
172, 450.13
173, 450.111
174, 450.113
175, 450.121
176, 450.134
177, 450.168
178, 450.22
179, 450.285


