[Name]
Series 1 at /POLYLINE:Polyline 1

[Data]
Chart Count,Temperature [ K ]
0, 450.712
1, 450.605
2, 450.508
3, 450.426
4, 450.359
5, 450.308
6, 450.273
7, 450.254
8, 450.257
9, 450.264
10, 450.277
11, 450.311
12, 450.362
13, 450.429
14, 450.512
15, 450.61
16, 450.718
17, 450.847
18, 450.933
19, 450.843
20, 450.713
21, 450.607
22, 450.512
23, 450.431
24, 450.364
25, 450.312
26, 450.276
27, 450.257
28, 450.259
29, 450.266
30, 450.279
31, 450.314
32, 450.365
33, 450.432
34, 450.513
35, 450.608
36, 450.712
37, 450.839
38, 450.932
39, 450.838
40, 450.709
41, 450.604
42, 450.51
43, 450.428
44, 450.361
45, 450.31
46, 450.274
47, 450.255
48, 450.256
49, 450.264
50, 450.277
51, 450.313
52, 450.365
53, 450.432
54, 450.514
55, 450.611
56, 450.717
57, 450.845
58, 450.933
59, 450.841
60, 450.709
61, 450.603
62, 450.507
63, 450.425
64, 450.359
65, 450.307
66, 450.271
67, 450.251
68, 450.252
69, 450.259
70, 450.272
71, 450.307
72, 450.359
73, 450.426
74, 450.508
75, 450.605
76, 450.712
77, 450.84
78, 450.928
79, 450.837
80, 450.706
81, 450.601
82, 450.505
83, 450.422
84, 450.355
85, 450.304
86, 450.27
87, 450.258
88, 450.251
89, 450.249
90, 450.269
91, 450.305
92, 450.357
93, 450.424
94, 450.506
95, 450.603
96, 450.709
97, 450.837
98, 450.925
99, 450.832
100, 450.701
101, 450.597
102, 450.5
103, 450.418
104, 450.351
105, 450.298
106, 450.263
107, 450.245
108, 450.247
109, 450.254
110, 450.267
111, 450.303
112, 450.355
113, 450.423
114, 450.506
115, 450.603
116, 450.709
117, 450.836
118, 450.924
119, 450.831
120, 450.7
121, 450.595
122, 450.5
123, 450.418
124, 450.35
125, 450.298
126, 450.263
127, 450.245
128, 450.247
129, 450.254
130, 450.268
131, 450.304
132, 450.356
133, 450.423
134, 450.506
135, 450.603
136, 450.709
137, 450.835
138, 450.923
139, 450.831
140, 450.701
141, 450.596
142, 450.5
143, 450.418
144, 450.35
145, 450.298
146, 450.262
147, 450.245
148, 450.246
149, 450.253
150, 450.267
151, 450.302
152, 450.355
153, 450.423
154, 450.506
155, 450.604
156, 450.712
157, 450.84
158, 450.927
159, 450.838
160, 450.708
161, 450.602
162, 450.504
163, 450.421
164, 450.355
165, 450.303
166, 450.267
167, 450.248
168, 450.251
169, 450.258
170, 450.271
171, 450.307
172, 450.358
173, 450.426
174, 450.508
175, 450.605
176, 450.713
177, 450.843
178, 450.93
179, 450.841


