[Name]
Series 1 at /POLYLINE:Polyline 1

[Data]
Chart Count,Temperature [ K ]
0, 451.496
1, 451.651
2, 451.834
3, 451.952
4, 451.835
5, 451.655
6, 451.501
7, 451.358
8, 451.229
9, 451.116
10, 451.017
11, 450.934
12, 450.866
13, 450.814
14, 450.778
15, 450.758
16, 450.76
17, 450.768
18, 450.782
19, 450.817
20, 450.869
21, 450.936
22, 451.02
23, 451.118
24, 451.232
25, 451.361
26, 451.504
27, 451.659
28, 451.84
29, 451.958
30, 451.842
31, 451.661
32, 451.505
33, 451.361
34, 451.233
35, 451.12
36, 451.021
37, 450.939
38, 450.871
39, 450.82
40, 450.785
41, 450.772
42, 450.764
43, 450.762
44, 450.781
45, 450.819
46, 450.871
47, 450.939
48, 451.022
49, 451.12
50, 451.234
51, 451.363
52, 451.506
53, 451.661
54, 451.842
55, 451.958
56, 451.841
57, 451.66
58, 451.506
59, 451.362
60, 451.233
61, 451.119
62, 451.021
63, 450.939
64, 450.871
65, 450.82
66, 450.785
67, 450.771
68, 450.763
69, 450.762
70, 450.782
71, 450.818
72, 450.87
73, 450.937
74, 451.02
75, 451.117
76, 451.23
77, 451.359
78, 451.502
79, 451.657
80, 451.839
81, 451.957
82, 451.84
83, 451.658
84, 451.504
85, 451.36
86, 451.231
87, 451.117
88, 451.018
89, 450.936
90, 450.868
91, 450.816
92, 450.78
93, 450.766
94, 450.759
95, 450.757
96, 450.777
97, 450.813
98, 450.864
99, 450.932
100, 451.014
101, 451.111
102, 451.224
103, 451.352
104, 451.495
105, 451.65
106, 451.832
107, 451.95
108, 451.833
109, 451.651
110, 451.497
111, 451.353
112, 451.225
113, 451.112
114, 451.014
115, 450.93
116, 450.862
117, 450.81
118, 450.775
119, 450.761
120, 450.754
121, 450.752
122, 450.773
123, 450.809
124, 450.861
125, 450.929
126, 451.012
127, 451.109
128, 451.221
129, 451.35
130, 451.495
131, 451.65
132, 451.831
133, 451.949
134, 451.832
135, 451.65
136, 451.496
137, 451.353
138, 451.225
139, 451.111
140, 451.013
141, 450.931
142, 450.863
143, 450.811
144, 450.777
145, 450.764
146, 450.756
147, 450.754
148, 450.774
149, 450.81
150, 450.862
151, 450.93
152, 451.013
153, 451.111
154, 451.225
155, 451.354
156, 451.498
157, 451.653
158, 451.835
159, 451.951
160, 451.835
161, 451.654
162, 451.499
163, 451.355
164, 451.226
165, 451.112
166, 451.014
167, 450.931
168, 450.864
169, 450.812
170, 450.778
171, 450.765
172, 450.758
173, 450.756
174, 450.776
175, 450.813
176, 450.865
177, 450.933
178, 451.016
179, 451.113
180, 451.226
181, 451.354


