[Name]
Series 1 at /POLYLINE:Polyline 1

[Data]
Chart Count,Temperature [ K ]
0, 451.684
1, 451.684
2, 451.69
3, 451.717
4, 451.761
5, 451.82
6, 451.895
7, 451.985
8, 452.089
9, 452.209
10, 452.344
11, 452.493
12, 452.659
13, 452.839
14, 453.029
15, 453.243
16, 453.382
17, 453.243
18, 453.028
19, 452.838
20, 452.658
21, 452.493
22, 452.343
23, 452.208
24, 452.089
25, 451.984
26, 451.894
27, 451.819
28, 451.759
29, 451.715
30, 451.687
31, 451.682
32, 451.682
33, 451.688
34, 451.715
35, 451.759
36, 451.819
37, 451.894
38, 451.984
39, 452.088
40, 452.207
41, 452.342
42, 452.492
43, 452.657
44, 452.837
45, 453.027
46, 453.241
47, 453.38
48, 453.241
49, 453.027
50, 452.838
51, 452.658
52, 452.492
53, 452.342
54, 452.208
55, 452.089
56, 451.984
57, 451.894
58, 451.82
59, 451.761
60, 451.717
61, 451.69
62, 451.685
63, 451.685
64, 451.691
65, 451.719
66, 451.762
67, 451.822
68, 451.897
69, 451.988
70, 452.093
71, 452.212
72, 452.347
73, 452.497
74, 452.662
75, 452.842
76, 453.032
77, 453.246
78, 453.385
79, 453.246
80, 453.032
81, 452.842
82, 452.663
83, 452.498
84, 452.348
85, 452.213
86, 452.093
87, 451.988
88, 451.898
89, 451.824
90, 451.765
91, 451.721
92, 451.694
93, 451.689
94, 451.689
95, 451.694
96, 451.72
97, 451.764
98, 451.823
99, 451.898
100, 451.988
101, 452.094
102, 452.214
103, 452.349
104, 452.498
105, 452.663
106, 452.844
107, 453.034
108, 453.249
109, 453.388
110, 453.248
111, 453.034
112, 452.844
113, 452.665
114, 452.5
115, 452.349
116, 452.214
117, 452.093
118, 451.988
119, 451.899
120, 451.824
121, 451.764
122, 451.72
123, 451.693
124, 451.688
125, 451.688
126, 451.694
127, 451.721
128, 451.765
129, 451.825
130, 451.9
131, 451.99
132, 452.094
133, 452.214
134, 452.348
135, 452.498
136, 452.663
137, 452.843
138, 453.033
139, 453.247
140, 453.387
141, 453.248
142, 453.033
143, 452.843
144, 452.664
145, 452.499
146, 452.349
147, 452.214
148, 452.094
149, 451.988
150, 451.899
151, 451.824
152, 451.764
153, 451.72
154, 451.693
155, 451.688
156, 451.687
157, 451.693
158, 451.72
159, 451.764
160, 451.823
161, 451.898
162, 451.988
163, 452.093
164, 452.213
165, 452.348
166, 452.498
167, 452.664
168, 452.843
169, 453.033
170, 453.247
171, 453.385
172, 453.246
173, 453.031
174, 452.842
175, 452.662
176, 452.496
177, 452.346
178, 452.211
179, 452.091
180, 451.986
181, 451.897
182, 451.822
183, 451.763
184, 451.718
185, 451.69


