[Name]
Series 1 at /POLYLINE:Polyline 1

[Data]
Chart Count,Temperature [ K ]
0, 450.454
1, 450.455
2, 450.468
3, 450.495
4, 450.537
5, 450.595
6, 450.667
7, 450.753
8, 450.854
9, 450.97
10, 451.102
11, 451.254
12, 451.346
13, 451.255
14, 451.104
15, 450.973
16, 450.856
17, 450.754
18, 450.668
19, 450.596
20, 450.539
21, 450.497
22, 450.47
23, 450.458
24, 450.459
25, 450.472
26, 450.499
27, 450.541
28, 450.598
29, 450.67
30, 450.757
31, 450.857
32, 450.973
33, 451.104
34, 451.256
35, 451.348
36, 451.257
37, 451.108
38, 450.976
39, 450.859
40, 450.758
41, 450.671
42, 450.6
43, 450.543
44, 450.501
45, 450.474
46, 450.463
47, 450.463
48, 450.476
49, 450.503
50, 450.545
51, 450.603
52, 450.675
53, 450.762
54, 450.864
55, 450.981
56, 451.112
57, 451.262
58, 451.353
59, 451.261
60, 451.11
61, 450.979
62, 450.863
63, 450.762
64, 450.676
65, 450.604
66, 450.548
67, 450.505
68, 450.477
69, 450.465
70, 450.465
71, 450.478
72, 450.504
73, 450.546
74, 450.603
75, 450.675
76, 450.762
77, 450.863
78, 450.978
79, 451.109
80, 451.26
81, 451.354
82, 451.262
83, 451.112
84, 450.981
85, 450.864
86, 450.763
87, 450.677
88, 450.606
89, 450.549
90, 450.506
91, 450.479
92, 450.467
93, 450.467
94, 450.479
95, 450.506
96, 450.548
97, 450.604
98, 450.676
99, 450.762
100, 450.863
101, 450.979
102, 451.111
103, 451.263
104, 451.353
105, 451.262
106, 451.108
107, 450.975
108, 450.86
109, 450.76
110, 450.673
111, 450.602
112, 450.546
113, 450.503
114, 450.476
115, 450.463
116, 450.463
117, 450.475
118, 450.502
119, 450.544
120, 450.601
121, 450.672
122, 450.759
123, 450.86
124, 450.974
125, 451.101
126, 451.255
127, 451.351
128, 451.262
129, 451.111
130, 450.978
131, 450.861
132, 450.759
133, 450.672
134, 450.6
135, 450.543
136, 450.5
137, 450.473
138, 450.461
139, 450.46
140, 450.473
141, 450.5
142, 450.542
143, 450.599
144, 450.67
145, 450.756
146, 450.856
147, 450.971
148, 451.104
149, 451.256
150, 451.348
151, 451.256
152, 451.104
153, 450.972
154, 450.857
155, 450.755
156, 450.669
157, 450.597
158, 450.539
159, 450.497
160, 450.47
161, 450.457
162, 450.457
163, 450.469
164, 450.496
165, 450.538
166, 450.595
167, 450.667
168, 450.753
169, 450.853
170, 450.968
171, 451.099
172, 451.251
173, 451.345
174, 451.251
175, 451.101
176, 450.97
177, 450.853
178, 450.751
179, 450.664
180, 450.592
181, 450.535
182, 450.493
183, 450.467


