[Name]
Temperature at /POLYLINE:Polyline 1

[Data]
Chart Count,Temperature [ K ]
0, 452.086
1, 452.081
2, 452.084
3, 452.106
4, 452.141
5, 452.189
6, 452.255
7, 452.338
8, 452.436
9, 452.55
10, 452.68
11, 452.825
12, 452.986
13, 453.163
14, 453.355
15, 453.563
16, 453.786
17, 454.022
18, 454.271
19, 454.544
20, 454.726
21, 454.544
22, 454.271
23, 454.023
24, 453.786
25, 453.563
26, 453.355
27, 453.164
28, 452.989
29, 452.829
30, 452.686
31, 452.559
32, 452.449
33, 452.354
34, 452.269
35, 452.196
36, 452.14
37, 452.103
38, 452.088
39, 452.081
40, 452.079
41, 452.099
42, 452.136
43, 452.189
44, 452.257
45, 452.341
46, 452.44
47, 452.555
48, 452.686
49, 452.832
50, 452.993
51, 453.17
52, 453.362
53, 453.57
54, 453.793
55, 454.031
56, 454.279
57, 454.551
58, 454.734
59, 454.551
60, 454.278
61, 454.03
62, 453.792
63, 453.569
64, 453.362
65, 453.171
66, 452.994
67, 452.833
68, 452.688
69, 452.558
70, 452.443
71, 452.343
72, 452.259
73, 452.191
74, 452.138
75, 452.103
76, 452.09
77, 452.084
78, 452.085
79, 452.11
80, 452.15
81, 452.2
82, 452.263
83, 452.345
84, 452.443
85, 452.557
86, 452.687
87, 452.832
88, 452.992
89, 453.168
90, 453.359
91, 453.566
92, 453.789
93, 454.026
94, 454.274
95, 454.547
96, 454.73
97, 454.547
98, 454.275
99, 454.027
100, 453.79
101, 453.566
102, 453.358
103, 453.165
104, 452.989
105, 452.828
106, 452.683
107, 452.552
108, 452.437
109, 452.338
110, 452.254
111, 452.186
112, 452.133
113, 452.098
114, 452.084
115, 452.077
116, 452.077
117, 452.098
118, 452.137
119, 452.194
120, 452.267
121, 452.353
122, 452.45
123, 452.56
124, 452.687
125, 452.832
126, 452.992
127, 453.168
128, 453.359
129, 453.567
130, 453.79
131, 454.028
132, 454.275
133, 454.548
134, 454.73
135, 454.547
136, 454.275
137, 454.026
138, 453.789
139, 453.566
140, 453.359
141, 453.168
142, 452.991
143, 452.83
144, 452.685
145, 452.555
146, 452.44
147, 452.34
148, 452.258
149, 452.192
150, 452.144
151, 452.112
152, 452.095
153, 452.083
154, 452.079
155, 452.098
156, 452.134
157, 452.187
158, 452.254
159, 452.338
160, 452.438
161, 452.553
162, 452.683
163, 452.829
164, 452.989
165, 453.165
166, 453.357
167, 453.565
168, 453.788
169, 454.025
170, 454.273
171, 454.545
172, 454.728
173, 454.546
174, 454.273
175, 454.025
176, 453.787
177, 453.564
178, 453.357
179, 453.164
180, 452.987
181, 452.826
182, 452.68
183, 452.55
184, 452.436
185, 452.337
186, 452.254
187, 452.187
188, 452.134
189, 452.098


