[Name]
Series 1 at /POLYLINE:Polyline 1

[Data]
Chart Count,Temperature [ K ]
0, 457.967
1, 458.16
2, 458.257
3, 458.16
4, 457.967
5, 457.779
6, 457.594
7, 457.413
8, 457.237
9, 457.064
10, 456.895
11, 456.73
12, 456.569
13, 456.412
14, 456.259
15, 456.11
16, 455.965
17, 455.824
18, 455.686
19, 455.553
20, 455.424
21, 455.298
22, 455.177
23, 455.059
24, 454.946
25, 454.836
26, 454.731
27, 454.629
28, 454.532
29, 454.438
30, 454.349
31, 454.263
32, 454.182
33, 454.104
34, 454.031
35, 453.961
36, 453.895
37, 453.834
38, 453.776
39, 453.723
40, 453.673
41, 453.627
42, 453.586
43, 453.548
44, 453.514
45, 453.485
46, 453.459
47, 453.437
48, 453.42
49, 453.406
50, 453.396
51, 453.39
52, 453.388
53, 453.39
54, 453.396
55, 453.406
56, 453.42
57, 453.437
58, 453.459
59, 453.484
60, 453.514
61, 453.547
62, 453.585
63, 453.627
64, 453.672
65, 453.722
66, 453.775
67, 453.833
68, 453.895
69, 453.96
70, 454.03
71, 454.103
72, 454.181
73, 454.262
74, 454.348
75, 454.437
76, 454.531
77, 454.628
78, 454.73
79, 454.835
80, 454.945
81, 455.058
82, 455.176
83, 455.297
84, 455.422
85, 455.552
86, 455.685
87, 455.822
88, 455.964
89, 456.109
90, 456.258
91, 456.411
92, 456.568
93, 456.729
94, 456.894
95, 457.063
96, 457.235
97, 457.412
98, 457.593
99, 457.777
100, 457.966
101, 458.159
102, 458.256
103, 458.159
104, 457.966
105, 457.777
106, 457.593
107, 457.412
108, 457.235
109, 457.062
110, 456.894
111, 456.729
112, 456.568
113, 456.411
114, 456.258
115, 456.109
116, 455.963
117, 455.822
118, 455.685
119, 455.551
120, 455.422
121, 455.296
122, 455.175
123, 455.057
124, 454.944
125, 454.834
126, 454.728
127, 454.627
128, 454.529
129, 454.435
130, 454.346
131, 454.26
132, 454.179
133, 454.101
134, 454.027
135, 453.958
136, 453.892
137, 453.831
138, 453.773
139, 453.719
140, 453.67
141, 453.624
142, 453.582
143, 453.545
144, 453.511
145, 453.482
146, 453.456
147, 453.434
148, 453.417
149, 453.403
150, 453.393
151, 453.388
152, 453.386
153, 453.387
154, 453.393
155, 453.403
156, 453.416
157, 453.434
158, 453.455
159, 453.481
160, 453.51
161, 453.544
162, 453.581
163, 453.623
164, 453.668
165, 453.718
166, 453.771
167, 453.829
168, 453.89
169, 453.956
170, 454.025
171, 454.099
172, 454.176
173, 454.258
174, 454.343
175, 454.433
176, 454.526
177, 454.624
178, 454.725
179, 454.831
180, 454.94
181, 455.054
182, 455.171
183, 455.293
184, 455.418
185, 455.548
186, 455.681
187, 455.818
188, 455.96
189, 456.105
190, 456.254
191, 456.407
192, 456.564
193, 456.725
194, 456.89
195, 457.059
196, 457.232
197, 457.408
198, 457.589
199, 457.774
200, 457.962
201, 458.155
202, 458.252
203, 458.155
204, 457.962
205, 457.774
206, 457.589
207, 457.409
208, 457.232
209, 457.059
210, 456.89
211, 456.725
212, 456.564
213, 456.407
214, 456.254
215, 456.105
216, 455.96
217, 455.819
218, 455.681
219, 455.548
220, 455.419
221, 455.293
222, 455.172
223, 455.054
224, 454.941
225, 454.831
226, 454.726
227, 454.625
228, 454.527
229, 454.433
230, 454.344
231, 454.258
232, 454.177
233, 454.099
234, 454.026
235, 453.956
236, 453.891
237, 453.829
238, 453.772
239, 453.718
240, 453.668
241, 453.623
242, 453.581
243, 453.544
244, 453.51
245, 453.48
246, 453.455
247, 453.433
248, 453.416
249, 453.402
250, 453.392
251, 453.387
252, 453.385
253, 453.387
254, 453.393
255, 453.402
256, 453.416
257, 453.434
258, 453.456
259, 453.481
260, 453.511
261, 453.545
262, 453.582
263, 453.624
264, 453.67
265, 453.72
266, 453.773
267, 453.831
268, 453.893
269, 453.958
270, 454.028
271, 454.101
272, 454.179
273, 454.261
274, 454.346
275, 454.436
276, 454.529
277, 454.627
278, 454.728
279, 454.834
280, 454.943
281, 455.057
282, 455.174
283, 455.296
284, 455.422
285, 455.551
286, 455.684
287, 455.822
288, 455.963
289, 456.108
290, 456.257
291, 456.41
292, 456.567
293, 456.728
294, 456.893
295, 457.062
296, 457.235
297, 457.412
298, 457.593
299, 457.777
300, 457.966
301, 458.158
302, 458.256
303, 458.158
304, 457.966
305, 457.777
306, 457.592
307, 457.412
308, 457.235
309, 457.062
310, 456.893
311, 456.728
312, 456.567
313, 456.41
314, 456.257
315, 456.108
316, 455.963
317, 455.822
318, 455.684
319, 455.551
320, 455.421
321, 455.296
322, 455.174
323, 455.057
324, 454.943
325, 454.834
326, 454.728
327, 454.627
328, 454.529
329, 454.436
330, 454.346
331, 454.261
332, 454.179
333, 454.102
334, 454.028
335, 453.959
336, 453.893
337, 453.832
338, 453.774
339, 453.721
340, 453.671
341, 453.626
342, 453.584
343, 453.547
344, 453.513
345, 453.484
346, 453.458
347, 453.437
348, 453.419
349, 453.406
350, 453.396
351, 453.39
352, 453.388
353, 453.39
354, 453.396
355, 453.406
356, 453.419
357, 453.437
358, 453.458
359, 453.484
360, 453.513
361, 453.547
362, 453.585
363, 453.626
364, 453.672
365, 453.722
366, 453.775
367, 453.833
368, 453.895
369, 453.96
370, 454.03
371, 454.103
372, 454.181
373, 454.262
374, 454.348
375, 454.437
376, 454.531
377, 454.629
378, 454.73
379, 454.836
380, 454.945
381, 455.059
382, 455.177
383, 455.298
384, 455.423
385, 455.553
386, 455.686
387, 455.824
388, 455.965
389, 456.11
390, 456.259
391, 456.412
392, 456.569
393, 456.73
394, 456.895
395, 457.064
396, 457.237
397, 457.413
398, 457.594
399, 457.779


