[Name]
Series 1 at Polyline Up

[Data]
Chart Count,Temperature [ K ]
0, 458.804
1, 458.853
2, 458.906
3, 458.977
4, 459.079
5, 459.194
6, 459.327
7, 459.477
8, 459.645
9, 459.83
10, 460.033
11, 460.254
12, 460.492
13, 460.748
14, 461.022
15, 461.313
16, 461.622
17, 461.948
18, 462.292
19, 462.653
20, 463.032
21, 463.428
22, 463.841
23, 464.272
24, 464.72
25, 465.184
26, 465.667
27, 466.166
28, 466.683
29, 467.217
30, 467.767
31, 468.335
32, 468.921
33, 469.524
34, 470.145
35, 470.777
36, 471.167
37, 470.777
38, 470.145
39, 469.524
40, 468.921
41, 468.335
42, 467.767
43, 467.216
44, 466.682
45, 466.166
46, 465.667
47, 465.184
48, 464.719
49, 464.271
50, 463.841
51, 463.427
52, 463.031
53, 462.652
54, 462.291
55, 461.947
56, 461.62
57, 461.311
58, 461.02
59, 460.746
60, 460.49
61, 460.251
62, 460.03
63, 459.827
64, 459.641
65, 459.473
66, 459.322
67, 459.189
68, 459.075
69, 458.977
70, 458.898
71, 458.837
72, 458.795
73, 458.775
74, 458.759
75, 458.758
76, 458.789
77, 458.834
78, 458.896
79, 458.975
80, 459.073
81, 459.189
82, 459.322
83, 459.472
84, 459.64
85, 459.826
86, 460.03
87, 460.251
88, 460.49
89, 460.745
90, 461.018
91, 461.309
92, 461.618
93, 461.945
94, 462.289
95, 462.65
96, 463.029
97, 463.425
98, 463.839
99, 464.27
100, 464.718
101, 465.183
102, 465.666
103, 466.166
104, 466.682
105, 467.216
106, 467.767
107, 468.336
108, 468.922
109, 469.525
110, 470.146
111, 470.778
112, 471.167
113, 470.777
114, 470.145
115, 469.524
116, 468.921
117, 468.335
118, 467.768
119, 467.217
120, 466.682
121, 466.165
122, 465.666
123, 465.183
124, 464.718
125, 464.27
126, 463.839
127, 463.426
128, 463.029
129, 462.651
130, 462.29
131, 461.946
132, 461.619
133, 461.31
134, 461.019
135, 460.745
136, 460.489
137, 460.25
138, 460.028
139, 459.825
140, 459.639
141, 459.471
142, 459.321
143, 459.189
144, 459.074
145, 458.977
146, 458.898
147, 458.835
148, 458.79
149, 458.76
150, 458.761
151, 458.777
152, 458.799
153, 458.841
154, 458.902
155, 458.981
156, 459.078
157, 459.193
158, 459.326
159, 459.477
160, 459.646
161, 459.832
162, 460.035
163, 460.256
164, 460.495
165, 460.752
166, 461.027
167, 461.319
168, 461.628
169, 461.955
170, 462.299
171, 462.66
172, 463.039
173, 463.436
174, 463.849
175, 464.281
176, 464.729
177, 465.194
178, 465.676
179, 466.176
180, 466.693
181, 467.226
182, 467.777
183, 468.344
184, 468.93
185, 469.533
186, 470.154
187, 470.786
188, 471.175
189, 470.786
190, 470.154
191, 469.533
192, 468.93
193, 468.344
194, 467.776
195, 467.226
196, 466.692
197, 466.175
198, 465.676
199, 465.194
200, 464.729
201, 464.28
202, 463.849
203, 463.436
204, 463.04
205, 462.661
206, 462.3
207, 461.956
208, 461.629
209, 461.32
210, 461.028
211, 460.755
212, 460.498
213, 460.259
214, 460.038
215, 459.835
216, 459.649
217, 459.48
218, 459.33
219, 459.197
220, 459.081
221, 458.984
222, 458.904
223, 458.843
224, 458.799
225, 458.773
226, 458.765
227, 458.775


