时间	开盘	最高	最低	收盘	涨幅	振幅	总手	金额	换手%	成交次数
"2010-04-16,五"	3450	3488	3413.2	3415.6	--	--	"48,988"	"50,538,805,000"	--	0
"2010-04-19,一"	3396	3398	3166.2	3197.4	-6.39%	6.79%	"109,733"	"108,206,412,000"	--	0
"2010-04-20,二"	3209.2	3240	3168.8	3214.6	0.54%	2.23%	"141,862"	"136,342,090,000"	--	0
"2010-04-21,三"	3215	3281.2	3208	3267.2	1.64%	2.28%	"114,531"	"111,267,894,000"	--	0
"2010-04-22,四"	3260.2	3274.4	3211	3236.2	-0.95%	1.94%	"133,247"	"129,629,807,000"	--	0
"2010-04-23,五"	3241	3266	3221	3221.2	-0.46%	1.39%	"116,981"	"113,886,815,000"	--	0
"2010-04-26,一"	3243	3252	3211.8	3219.6	-0.05%	1.25%	"112,229"	"108,949,727,000"	--	0
"2010-04-27,二"	3201.2	3205	3107.6	3138.8	-2.51%	3.03%	"139,961"	"132,007,160,000"	--	0
"2010-04-28,三"	3101.6	3142.6	3094.2	3129	-0.31%	1.54%	"128,530"	"120,470,298,000"	--	0
"2010-04-29,四"	3141	3157.6	3082.2	3083.8	-1.44%	2.41%	"116,254"	"109,415,653,000"	--	0
"2010-04-30,五"	3103	3119.6	3043	3107	0.75%	2.48%	"184,157"	"170,310,300,000"	--	0
"2010-05-04,二"	3079.8	3094.4	3060.8	3076.4	-0.98%	1.08%	"150,123"	"138,591,340,000"	--	0
"2010-05-05,三"	3046.4	3087	3031	3076.4	0.00%	1.82%	"145,542"	"133,493,198,000"	--	0
"2010-05-06,四"	3078.6	3083.4	2953.6	2967.4	-3.54%	4.22%	"170,221"	"154,506,800,000"	--	0
"2010-05-07,五"	2928	2959.8	2862.2	2897.6	-2.35%	3.29%	"240,106"	"209,597,900,000"	--	0
"2010-05-10,一"	2910	2931	2870	2918	0.70%	2.11%	"201,919"	"175,917,190,000"	--	0
"2010-05-11,二"	2949	2957.8	2797.2	2801.6	-3.99%	5.50%	"224,626"	"194,325,110,000"	--	0
"2010-05-12,三"	2809	2855	2782	2836.2	1.23%	2.61%	"273,131"	"231,214,050,000"	--	0
"2010-05-13,四"	2847.8	2915.6	2823	2894.6	2.06%	3.26%	"217,422"	"186,684,120,000"	--	0
"2010-05-14,五"	2880	2894.8	2850.4	2862.6	-1.11%	1.53%	"185,453"	"159,865,820,000"	--	0
"2010-05-17,一"	2840	2840.2	2708	2719	-5.02%	4.62%	"117,625"	"97,865,068,000"	--	0
"2010-05-18,二"	2717	2808	2703	2779	2.21%	3.86%	"40,298"	"33,122,066,000"	--	0
"2010-05-19,三"	2762.2	2808.8	2722.6	2763.4	-0.56%	3.10%	"14,913"	"12,382,801,300"	--	0
"2010-05-20,四"	2770.4	2820	2713.6	2735	-1.03%	3.85%	"7,125"	"5,908,116,000"	--	0
"2010-05-21,五"	2694.8	2751.6	2661	2749.8	0.54%	3.31%	"3,765"	"3,069,376,200"	--	0
"2010-05-24,一"	2814	2933.4	2808	2902	5.53%	4.56%	"300,512"	"260,913,830,000"	--	0
